time [s],uuid, clocks_event_reasons.hw_slowdown, clocks_event_reasons.sw_thermal_slowdown, memory.total [MiB], memory.reserved [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
0.14521265000803396,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59306 MiB, 5645 MiB, 0 %, 0 %
1.380434411985334,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59306 MiB, 5645 MiB, 63 %, 46 %
2.380556248011999,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59306 MiB, 5645 MiB, 93 %, 67 %
3.3806570830056444,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59452 MiB, 5499 MiB, 34 %, 28 %
4.380759608000517,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59452 MiB, 5499 MiB, 90 %, 75 %
5.380858163989615,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59452 MiB, 5499 MiB, 89 %, 73 %
6.3809506020043045,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59452 MiB, 5499 MiB, 90 %, 76 %
7.381041784014087,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59452 MiB, 5499 MiB, 90 %, 73 %
8.381141630990896,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59452 MiB, 5499 MiB, 90 %, 76 %
9.38124603300821,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59452 MiB, 5499 MiB, 90 %, 74 %
10.381346762995236,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59452 MiB, 5499 MiB, 90 %, 68 %
11.381445864972193,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59452 MiB, 5499 MiB, 90 %, 74 %
12.381507006008178,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59452 MiB, 5499 MiB, 89 %, 72 %
13.381568750017323,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59452 MiB, 5499 MiB, 90 %, 75 %
14.381667662994005,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59452 MiB, 5499 MiB, 89 %, 73 %
15.381734949012753,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59452 MiB, 5499 MiB, 90 %, 76 %
16.38184241298586,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59452 MiB, 5499 MiB, 89 %, 73 %
17.381955243996345,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59452 MiB, 5499 MiB, 90 %, 75 %
18.382018862990662,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59452 MiB, 5499 MiB, 90 %, 74 %
19.382128681987524,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59452 MiB, 5499 MiB, 90 %, 69 %
20.38220446498599,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59452 MiB, 5499 MiB, 89 %, 74 %
21.382282613019925,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59452 MiB, 5499 MiB, 89 %, 72 %
22.382351259991992,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59452 MiB, 5499 MiB, 90 %, 75 %
23.382455090992153,GPU-e2d9695c-b026-4be9-3836-f3f2fadea2a5, Not Active, Not Active, 65247 MiB, 294 MiB, 59452 MiB, 5499 MiB, 90 %, 73 %
