time [s],scheduler_total_time,model_forward_total_time,gpu_cache_usage_perc,num_requests_running,num_requests_waiting,num_preemptions_total,request_success_total,prompt_tokens_total,generation_tokens_total
0.16568437963724136,0,0,0,0,0,0,0,0,0
1.2003744561225176,0.0005627591162919998,0.1175391897559166,0.006006006006005982,1.0,0.0,0.0,0,250.0,4.0
2.200437631458044,0.0031120534986257553,1.1198153588920832,0.007132132132132152,1.0,0.0,0.0,0,250.0,54.0
3.2005028799176216,0.005565835162997246,2.1022522151470184,0.008633633633633675,1.0,0.0,0.0,0,250.0,103.0
4.200557334348559,0.008089963346719742,3.1058407109230757,0.009759759759759734,1.0,0.0,0.0,0,250.0,153.0
5.200608044862747,0.010524721816182137,4.090182062238455,0.010885885885885904,1.0,0.0,0.0,0,250.0,202.0
6.200675409287214,0.013051366433501244,5.096110921353102,0.012012012012011963,1.0,0.0,0.0,0,250.0,252.0
7.20074400305748,0.030740682035684586,6.649102903902531,0.43093093093093093,67.0,1323.0,0.0,1.0,16339.0,1382.0
8.410123469308019,0.045129815116524696,7.347167540341616,0.6156156156156156,93.0,1904.0,0.0,1.0,22876.0,2551.0
9.41019600443542,0.05331307649612427,7.745609814301133,0.7117117117117118,106.0,1894.0,0.0,1.0,26205.0,3331.0
10.410257184877992,0.07333547994494438,8.715249724686146,0.8986486486486487,128.0,1872.0,0.0,1.0,32250.0,5586.0
11.410309955477715,0.0964530948549509,9.674104824662209,0.9643393393393394,128.0,1872.0,0.0,1.0,32250.0,8402.0
12.410372659564018,0.1187418531626463,10.61546977981925,0.9973723723723724,124.0,1876.0,4.0,1.0,32250.0,11069.0
13.410444684326649,0.1383094172924757,11.617164747789502,0.9921171171171171,116.0,1884.0,11.0,1.0,32250.0,13353.0
14.410512667149305,0.15957463718950748,12.618790000677109,0.9943693693693694,109.0,1891.0,18.0,1.0,32250.0,15836.0
15.41059148684144,0.17937169037759304,13.573572678491473,0.9928678678678678,103.0,1897.0,25.0,1.0,32250.0,18068.0
16.41065443493426,0.20005913078784943,14.571901615709066,0.990990990990991,97.0,1903.0,30.0,1.0,32250.0,20278.0
17.410767644643784,0.2192673645913601,15.551567042246461,0.9996246246246246,93.0,1907.0,35.0,1.0,32250.0,22370.0
18.410845099017024,0.2372410036623478,16.525414742529392,0.9936186186186187,88.0,1912.0,40.0,1.0,32250.0,24358.0
19.410897992551327,0.25434741005301476,17.474113000556827,0.8930180180180181,77.0,1908.0,42.0,16.0,34409.0,26050.0
20.410953933373094,0.2720489799976349,18.48536209203303,0.6940690690690691,64.0,1885.0,42.0,52.0,42810.0,27363.0
21.4110129121691,0.289104662835598,19.45907437056303,0.5075075075075075,61.0,1853.0,42.0,87.0,51845.0,28565.0
22.41108168102801,0.307458633556962,20.434556901454926,0.7308558558558558,94.0,1818.0,42.0,89.0,60590.0,30092.0
23.41114453598857,0.32654508762061596,21.397310504689813,0.920045045045045,121.0,1788.0,42.0,92.0,67930.0,31994.0
24.411207193508744,0.3493410814553499,22.38520907610655,0.9973723723723724,127.0,1779.0,42.0,95.0,70798.0,34518.0
25.411260491237044,0.37307933531701565,23.374322894960642,0.9932432432432432,120.0,1782.0,45.0,99.0,70798.0,37224.0
26.41132709942758,0.39449290931224823,24.33116594143212,0.9954954954954955,115.0,1783.0,46.0,103.0,70798.0,39687.0
27.411380590870976,0.41625790297985077,25.332401702180505,0.9842342342342343,109.0,1784.0,47.0,108.0,70798.0,42152.0
28.41143710166216,0.4362093545496464,26.30105686560273,0.9902402402402403,105.0,1784.0,48.0,112.0,71140.0,44403.0
29.41149820201099,0.4569523986428976,27.263345420360565,0.9868618618618619,101.0,1783.0,48.0,117.0,71451.0,46568.0
30.411570167168975,0.47814310155808926,28.232754196971655,0.9883633633633634,98.0,1781.0,48.0,122.0,72028.0,48658.0
31.411623327061534,0.4980822578072548,29.19970396719873,0.9947447447447447,96.0,1778.0,48.0,127.0,72810.0,50684.0
32.41170610487461,0.5184065643697977,30.188486970961094,0.9981231231231231,91.0,1781.0,52.0,129.0,73060.0,52748.0
33.411773063242435,0.5357597172260284,31.16185881011188,0.9714714714714715,84.0,1786.0,57.0,131.0,73060.0,54688.0
34.4118396230042,0.5544909574091434,32.14437774755061,0.7939189189189189,79.0,1758.0,57.0,164.0,80405.0,56126.0
35.41189184226096,0.5738351456820965,33.125679498538375,0.640015015015015,80.0,1725.0,57.0,196.0,88633.0,57626.0
36.411953115835786,0.7499854918569326,33.95434013940394,0.6163663663663663,90.0,1696.0,57.0,215.0,95961.0,59011.0
37.41201279684901,0.769999023526907,34.92843550443649,0.8310810810810811,120.0,1664.0,57.0,217.0,103760.0,60969.0
38.412079671397805,0.7933547347784042,35.91736375913024,0.9414414414414415,128.0,1656.0,57.0,217.0,106394.0,63624.0
39.41213402338326,0.8178127743303776,36.89856301061809,0.9954954954954955,126.0,1658.0,58.0,217.0,106394.0,66438.0
40.41220461949706,0.8404497355222702,37.8468780759722,0.9988738738738738,119.0,1664.0,65.0,218.0,106394.0,69006.0
41.412257201969624,0.8616848215460777,38.805265944451094,0.9936186186186187,111.0,1672.0,72.0,218.0,106394.0,71423.0
42.41232292726636,0.8840559162199497,39.80648538470268,0.9947447447447447,105.0,1677.0,78.0,219.0,106394.0,73806.0
43.41237390041351,0.9045453630387783,40.758842481300235,0.9973723723723724,100.0,1681.0,82.0,220.0,106394.0,75956.0
44.412435200065374,0.9251358956098557,41.74677440524101,0.9966216216216216,95.0,1685.0,86.0,221.0,106394.0,78095.0
