time,gpu,pwr,gtemp,mtemp,sm,mem,enc,dec,jpg,ofa,mclk,pclk,pviol,tviol,rxpci,txpci
s,Idx,W,C,C,%,%,%,%,%,%,MHz,MHz,%,bool,MB/s,MB/s
0.15005986485630274,0,126,42,61,11,10,0,0,0,0,1593,1980,0,0,28,12
1.482656636275351,0,146,43,63,11,10,0,0,0,0,1593,1980,0,0,28,14
2.48277292214334,0,295,45,66,95,94,0,0,0,0,1593,1980,0,0,28,13
3.4829093869775534,0,301,45,67,95,94,0,0,0,0,1593,1980,0,0,26,13
4.482982449233532,0,258,54,64,43,36,0,0,0,0,1593,1980,0,0,60,15
5.483060281723738,0,386,53,68,81,85,0,0,0,0,1593,1980,0,0,31,11
6.933840291574597,0,387,53,68,87,94,0,0,0,0,1593,1980,0,0,31,18
7.933920307084918,0,414,53,68,88,95,0,0,0,0,1593,1980,0,0,29,13
8.933995184488595,0,420,53,70,89,97,0,0,0,0,1593,1980,0,0,35,11
9.93407169636339,0,417,53,70,89,97,0,0,0,0,1593,1980,0,0,71,17
10.934150458313525,0,441,54,69,89,98,0,0,0,0,1593,1980,0,0,71,13
11.934217507950962,0,461,57,69,89,92,0,0,0,0,1593,1980,0,0,109,11
12.934315661899745,0,546,58,70,90,91,0,0,0,0,1593,1980,0,0,151,11
13.934408756904304,0,568,59,70,88,87,0,0,0,0,1593,1980,0,0,61,11
14.934476391412318,0,461,55,71,87,94,0,0,0,0,1593,1980,0,0,29,11
15.934554297477007,0,419,54,70,88,95,0,0,0,0,1593,1980,0,0,28,12
16.934670105576515,0,372,53,72,87,95,0,0,0,0,1593,1980,0,0,29,21
17.934808569960296,0,418,54,70,89,97,0,0,0,0,1593,1980,0,0,35,12
18.93487866409123,0,382,54,70,89,98,0,0,0,0,1593,1980,0,0,31,13
19.935089792124927,0,507,57,70,89,91,0,0,0,0,1593,1980,0,0,143,11
20.935204228386283,0,536,59,70,87,88,0,0,0,0,1593,1980,0,0,72,14
21.935303390957415,0,534,60,70,87,87,0,0,0,0,1593,1980,0,0,51,15
22.93542204145342,0,440,55,71,87,94,0,0,0,0,1593,1980,0,0,32,12
23.935550747439265,0,411,54,71,87,94,0,0,0,0,1593,1980,0,0,34,11
24.935667942278087,0,421,54,70,91,99,0,0,0,0,1593,1980,0,0,35,15
25.935772698372602,0,431,54,71,89,97,0,0,0,0,1593,1980,0,0,27,14
26.935884806327522,0,471,58,72,90,93,0,0,0,0,1593,1980,0,0,58,11
27.936009145341814,0,486,58,70,90,92,0,0,0,0,1593,1980,0,0,61,12
28.936134096235037,0,556,60,72,90,91,0,0,0,0,1593,1980,0,0,71,11
29.936211966909468,0,547,59,71,89,89,0,0,0,0,1593,1980,0,0,80,14
30.93632861226797,0,436,55,71,89,96,0,0,0,0,1593,1980,0,0,28,13
31.936386298388243,0,433,54,71,89,96,0,0,0,0,1593,1980,0,0,63,13
32.93644888140261,0,425,54,71,91,99,0,0,0,0,1593,1980,0,0,33,21
33.936565733514726,0,424,54,72,91,99,0,0,0,0,1593,1980,0,0,32,11
34.93664957024157,0,470,58,74,90,93,0,0,0,0,1593,1980,0,0,65,12
35.936729276552796,0,555,59,72,89,91,0,0,0,0,1593,1980,0,0,49,15
36.93681097775698,0,548,60,72,91,91,0,0,0,0,1593,1980,0,0,55,21
37.93687785603106,0,500,57,72,89,95,0,0,0,0,1593,1980,0,0,46,12
38.936958618462086,0,379,54,73,89,96,0,0,0,0,1593,1980,0,0,25,15
39.93706732708961,0,424,55,71,89,97,0,0,0,0,1593,1980,0,0,29,26
40.9371803086251,0,431,54,72,89,97,0,0,0,0,1593,1980,0,0,75,15
41.93728235643357,0,425,54,72,91,99,0,0,0,0,1593,1980,0,0,34,13
42.93740801140666,0,482,58,72,91,93,0,0,0,0,1593,1980,0,0,71,15
43.937521712854505,0,538,60,74,88,90,0,0,0,0,1593,1980,0,0,76,15
44.93763532023877,0,550,61,72,89,89,0,0,0,0,1593,1980,0,0,51,12
45.937738018110394,0,498,56,72,89,96,0,0,0,0,1593,1980,0,0,28,20
46.93786284420639,0,423,55,71,90,97,0,0,0,0,1593,1980,0,0,25,13
47.93792968336493,0,424,55,74,91,99,0,0,0,0,1593,1980,0,0,28,12
48.93802118021995,0,371,54,72,89,97,0,0,0,0,1593,1980,0,0,38,13
49.93811183795333,0,424,54,72,91,99,0,0,0,0,1593,1980,0,0,30,13
50.93823352921754,0,518,59,72,89,91,0,0,0,0,1593,1980,0,0,70,13
51.9383556721732,0,543,60,73,89,90,0,0,0,0,1593,1980,0,0,57,13
52.938473872840405,0,563,60,72,89,89,0,0,0,0,1593,1980,0,0,105,12
53.93861841503531,0,461,55,73,88,95,0,0,0,0,1593,1980,0,0,35,30
54.938715101219714,0,431,55,72,89,97,0,0,0,0,1593,1980,0,0,42,13
55.93883973453194,0,421,55,71,91,99,0,0,0,0,1593,1980,0,0,78,15
56.938959481194615,0,422,55,72,90,98,0,0,0,0,1593,1980,0,0,32,13
57.93905783351511,0,436,57,72,92,97,0,0,0,0,1593,1980,0,0,117,13
58.939161060377955,0,475,57,71,78,79,0,0,0,0,1593,1980,0,0,58,11
59.93927185609937,0,558,60,71,91,91,0,0,0,0,1593,1980,0,0,50,14
60.93941632844508,0,566,60,73,88,88,0,0,0,0,1593,1980,0,0,67,12
61.93953520897776,0,442,55,73,89,96,0,0,0,0,1593,1980,0,0,35,13
62.93964183703065,0,424,55,73,89,97,0,0,0,0,1593,1980,0,0,31,12
63.93975192774087,0,424,55,74,89,97,0,0,0,0,1593,1980,0,0,34,16
64.939846416004,0,428,55,73,89,98,0,0,0,0,1593,1980,0,0,49,13
65.93995262309909,0,474,58,72,90,93,0,0,0,0,1593,1980,0,0,55,11
66.94007076043636,0,545,60,73,88,90,0,0,0,0,1593,1980,0,0,128,17
67.9401879068464,0,554,61,72,89,89,0,0,0,0,1593,1980,0,0,50,12
68.94028999004513,0,495,55,72,64,69,0,0,0,0,1593,1980,0,0,61,15
69.94041386153549,0,416,55,73,89,96,0,0,0,0,1593,1980,0,0,34,11
70.94051576312631,0,419,54,72,91,98,0,0,0,0,1593,1980,0,0,33,14
71.9406252708286,0,429,54,71,91,99,0,0,0,0,1593,1980,0,0,28,21
72.94072833191603,0,427,54,73,90,98,0,0,0,0,1593,1980,0,0,73,11
73.94083857908845,0,525,59,73,90,93,0,0,0,0,1593,1980,0,0,55,13
74.94094175752252,0,542,59,72,89,90,0,0,0,0,1593,1980,0,0,58,13
75.94104665890336,0,554,60,72,90,90,0,0,0,0,1593,1980,0,0,62,15
76.94114284683019,0,478,55,73,89,96,0,0,0,0,1593,1980,0,0,64,12
77.94127328228205,0,414,54,71,89,96,0,0,0,0,1593,1980,0,0,33,12
78.94140888936818,0,389,53,73,68,74,0,0,0,0,1593,1980,0,0,28,11
79.94152186159045,0,432,54,72,91,99,0,0,0,0,1593,1980,0,0,29,11
80.94162230752409,0,435,56,73,90,99,0,0,0,0,1593,1980,0,0,50,15
81.94175091013312,0,525,60,73,91,93,0,0,0,0,1593,1980,0,0,78,12
82.94186764210463,0,557,60,73,90,91,0,0,0,0,1593,1980,0,0,94,12
83.94198385905474,0,557,61,74,88,88,0,0,0,0,1593,1980,0,0,59,11
84.94208446983248,0,459,55,72,89,96,0,0,0,0,1593,1980,0,0,38,12
85.94215241260827,0,436,55,73,88,96,0,0,0,0,1593,1980,0,0,68,13
86.94226924143732,0,423,55,72,90,99,0,0,0,0,1593,1980,0,0,28,12
87.94240561686456,0,433,55,73,89,98,0,0,0,0,1593,1980,0,0,33,31
88.94248859304935,0,427,50,69,91,96,0,0,0,0,1593,1980,0,0,0,0
89.94257421698421,0,459,60,73,90,92,0,0,0,0,1593,1980,0,0,47,26
90.9426798550412,0,549,60,72,90,91,0,0,0,0,1593,1980,0,0,50,18
91.9427613671869,0,554,58,73,89,89,0,0,0,0,1593,1980,0,0,33,11
92.94285800121725,0,430,55,73,89,97,0,0,0,0,1593,1980,0,0,34,12
93.94295764248818,0,430,55,72,89,97,0,0,0,0,1593,1980,0,0,32,13
94.94304475560784,0,429,55,73,89,97,0,0,0,0,1593,1980,0,0,33,13
95.94317640736699,0,430,55,72,89,98,0,0,0,0,1593,1980,0,0,36,13
96.94325525034219,0,472,59,72,89,92,0,0,0,0,1593,1980,0,0,113,13
97.94333867542446,0,551,60,72,91,93,0,0,0,0,1593,1980,0,0,116,12
98.94343443214893,0,554,61,73,91,91,0,0,0,0,1593,1980,0,0,0,1
99.94355925731361,0,486,57,72,88,94,0,0,0,0,1593,1980,0,0,36,19
100.94363730307668,0,438,55,73,89,97,0,0,0,0,1593,1980,0,0,52,18
101.94375423900783,0,424,55,72,90,99,0,0,0,0,1593,1980,0,0,34,11
102.94384824018925,0,435,55,72,90,99,0,0,0,0,1593,1980,0,0,43,13
103.94395006261766,0,426,55,72,90,100,0,0,0,0,1593,1980,0,0,49,14
104.94405038282275,0,514,59,72,90,93,0,0,0,0,1593,1980,0,0,49,14
105.94413822330534,0,545,60,72,91,92,0,0,0,0,1593,1980,0,0,56,23
106.94421553052962,0,551,60,74,88,89,0,0,0,0,1593,1980,0,0,125,12
107.94432031642646,0,508,56,73,89,96,0,0,0,0,1593,1980,0,0,35,26
108.94441936723888,0,435,51,71,90,99,0,0,0,0,1593,1980,0,0,0,0
109.9445391651243,0,386,55,73,90,99,0,0,0,0,1593,1980,0,0,28,11
110.94465311989188,0,430,55,72,91,99,0,0,0,0,1593,1980,0,0,33,13
111.94473074097186,0,425,57,74,91,98,0,0,0,0,1593,1980,0,0,121,15
112.94481365382671,0,527,59,73,91,93,0,0,0,0,1593,1980,0,0,64,13
113.9449137058109,0,550,61,73,89,90,0,0,0,0,1593,1980,0,0,117,15
114.94499071408063,0,566,61,73,89,90,0,0,0,0,1593,1980,0,0,62,13
115.94508287217468,0,449,56,72,89,96,0,0,0,0,1593,1980,0,0,28,11
116.94520699419081,0,424,56,73,89,97,0,0,0,0,1593,1980,0,0,29,27
117.94531883858144,0,423,55,72,90,98,0,0,0,0,1593,1980,0,0,51,11
118.94542752671987,0,432,55,72,90,98,0,0,0,0,1593,1980,0,0,0,0
119.94555335398763,0,426,56,74,91,96,0,0,0,0,1593,1980,0,0,89,13
120.94566130172461,0,536,59,73,89,91,0,0,0,0,1593,1980,0,0,56,12
121.94578240718693,0,531,57,73,90,96,0,0,0,0,1593,1980,0,0,45,11
122.9458860643208,0,413,54,73,90,97,0,0,0,0,1593,1980,0,0,32,14
123.94598017353565,0,402,54,72,91,98,0,0,0,0,1593,1980,0,0,32,16
