time,gpu,pwr,gtemp,mtemp,sm,mem,enc,dec,jpg,ofa,mclk,pclk,pviol,tviol,rxpci,txpci
s,Idx,W,C,C,%,%,%,%,%,%,MHz,MHz,%,bool,MB/s,MB/s
0.1566036279546097,0,145,45,61,0,0,0,0,0,0,1593,1980,0,0,34,11
1.2069107929710299,0,158,46,64,66,43,0,0,0,0,1593,1980,0,0,32,10
2.206987853976898,0,223,45,62,0,0,0,0,0,0,1593,1980,0,0,0,0
3.20706090395106,0,262,48,65,80,53,0,0,0,0,1593,1980,0,0,35,11
4.760798041999806,0,264,48,66,80,53,0,0,0,0,1593,1980,0,0,33,11
5.760871690989006,0,276,49,66,87,58,0,0,0,0,1593,1980,0,0,34,10
6.760945682995953,0,271,49,66,88,58,0,0,0,0,1593,1980,0,0,33,11
7.761021363956388,0,277,49,65,86,57,0,0,0,0,1593,1980,0,0,33,10
8.761096438975073,0,273,49,68,87,58,0,0,0,0,1593,1980,0,0,34,12
9.761169821955264,0,272,49,65,87,58,0,0,0,0,1593,1980,0,0,35,10
10.761240005958825,0,272,49,66,87,58,0,0,0,0,1593,1980,0,0,32,11
11.761307111999486,0,274,49,65,87,58,0,0,0,0,1593,1980,0,0,33,11
12.761380575946532,0,273,49,65,87,58,0,0,0,0,1593,1980,0,0,59,11
13.761447229946498,0,271,49,65,87,59,0,0,0,0,1593,1980,0,0,32,11
14.761509856965858,0,272,49,66,87,58,0,0,0,0,1593,1980,0,0,32,11
15.761583671963308,0,273,49,66,87,58,0,0,0,0,1593,1980,0,0,32,10
16.761649896972813,0,281,49,66,87,58,0,0,0,0,1593,1980,0,0,33,10
17.761720784998033,0,275,49,66,87,58,0,0,0,0,1593,1980,0,0,33,11
18.76178085099673,0,278,49,67,87,58,0,0,0,0,1593,1980,0,0,34,12
19.76184387196554,0,273,49,66,86,58,0,0,0,0,1593,1980,0,0,33,12
20.76191119797295,0,275,49,67,86,57,0,0,0,0,1593,1980,0,0,34,12
21.761979004950263,0,275,49,66,87,58,0,0,0,0,1593,1980,0,0,32,12
22.762041144946124,0,275,49,66,87,58,0,0,0,0,1593,1980,0,0,33,10
23.762114121986087,0,273,49,65,87,58,0,0,0,0,1593,1980,0,0,59,11
