time [s],uuid, clocks_event_reasons.hw_slowdown, clocks_event_reasons.sw_thermal_slowdown, memory.total [MiB], memory.reserved [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
0.14633451588451862,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 0 %, 0 %
1.2708449754863977,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 0 %, 0 %
2.2709424048662186,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 0 %, 0 %
3.2710213512182236,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 77 %, 50 %
4.967371365055442,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 84 %, 55 %
5.967437334358692,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 88 %, 57 %
6.967489710077643,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 86 %, 56 %
7.967538420110941,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 86 %, 56 %
8.967592487111688,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 88 %, 57 %
9.967658443376422,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 88 %, 57 %
10.967711117118597,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 88 %, 57 %
11.967780580744147,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 86 %, 56 %
12.96785451285541,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 86 %, 56 %
13.967917239293456,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 88 %, 57 %
14.967989640310407,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 88 %, 57 %
15.968041606247425,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 88 %, 57 %
16.96809770911932,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 86 %, 56 %
17.96816134825349,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 86 %, 56 %
18.968231935054064,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 57 %
19.96830538660288,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 88 %, 57 %
20.968367155641317,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 88 %, 58 %
21.968433063477278,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 86 %, 56 %
22.968496911227703,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 86 %, 56 %
23.968563061207533,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 88 %, 57 %
24.968624578788877,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 88 %, 57 %
25.968690486624837,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 88 %, 57 %
26.968757946044207,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 86 %, 56 %
27.968822894617915,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 86 %, 56 %
28.968888780102134,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 88 %, 57 %
29.968959072604775,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 88 %, 57 %
30.969032725319266,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 88 %, 57 %
31.969097089022398,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 86 %, 56 %
32.969163075089455,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 86 %, 56 %
33.96922884322703,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 88 %, 57 %
34.969302129000425,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 88 %, 57 %
35.96936255693436,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 88 %, 57 %
36.96942854486406,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 86 %, 56 %
37.96950138360262,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 86 %, 56 %
38.969573214650154,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 88 %, 57 %
39.969638641923666,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 88 %, 57 %
40.96970172971487,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 88 %, 58 %
41.96976704522967,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 84 %, 55 %
42.96983162686229,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 86 %, 56 %
43.969908541068435,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
44.96997685544193,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 86 %, 59 %
45.97004117257893,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
46.970109686255455,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 86 %, 58 %
47.97017948515713,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 86 %, 58 %
49.04891215637326,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
50.04897375591099,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 85 %, 58 %
51.049044743180275,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
52.049095042049885,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
53.04915004782379,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
54.04920875094831,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
55.049254732206464,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 86 %, 58 %
56.04930224455893,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 85 %, 58 %
57.04935888759792,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
58.04942533001304,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
59.049507558345795,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 60 %
60.049575466662645,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 85 %, 58 %
61.04963123612106,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
62.04969344101846,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
63.04976133070886,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
64.04983424209058,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 86 %, 58 %
65.0498894173652,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
66.04995541274548,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
67.05001631006598,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
68.050079530105,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 85 %, 58 %
69.0501476675272,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
70.05021539330482,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
71.05028292350471,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
72.05034153349698,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 85 %, 58 %
73.0504130218178,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
74.0504710841924,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
75.05060071498156,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
76.0506475456059,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 86 %, 58 %
77.05071016028523,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 85 %, 58 %
78.05077261291444,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
79.0508357938379,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
80.05091204307973,GPU-a9cae65e-da14-39a5-291e-03eb4bac0654, Not Active, Not Active, 65247 MiB, 294 MiB, 59160 MiB, 5791 MiB, 87 %, 59 %
