time [s],uuid, clocks_event_reasons.hw_slowdown, clocks_event_reasons.sw_thermal_slowdown, memory.total [MiB], memory.reserved [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
0.13977740611881018,GPU-5d0abf04-e1a2-b7e2-9676-05c0a9733cac, Not Active, Not Active, 65247 MiB, 294 MiB, 58882 MiB, 6069 MiB, 21 %, 21 %
1.3312943801283836,GPU-5d0abf04-e1a2-b7e2-9676-05c0a9733cac, Not Active, Not Active, 65247 MiB, 294 MiB, 58882 MiB, 6069 MiB, 21 %, 21 %
2.3313646148890257,GPU-5d0abf04-e1a2-b7e2-9676-05c0a9733cac, Not Active, Not Active, 65247 MiB, 294 MiB, 58882 MiB, 6069 MiB, 97 %, 100 %
3.33142635691911,GPU-5d0abf04-e1a2-b7e2-9676-05c0a9733cac, Not Active, Not Active, 65247 MiB, 294 MiB, 58882 MiB, 6069 MiB, 97 %, 100 %
4.331488532014191,GPU-5d0abf04-e1a2-b7e2-9676-05c0a9733cac, Not Active, Not Active, 65247 MiB, 294 MiB, 58882 MiB, 6069 MiB, 97 %, 100 %
5.331548978108913,GPU-5d0abf04-e1a2-b7e2-9676-05c0a9733cac, Not Active, Not Active, 65247 MiB, 294 MiB, 58882 MiB, 6069 MiB, 97 %, 100 %
6.331620994955301,GPU-5d0abf04-e1a2-b7e2-9676-05c0a9733cac, Not Active, Not Active, 65247 MiB, 294 MiB, 58968 MiB, 5983 MiB, 55 %, 51 %
7.331697536166757,GPU-5d0abf04-e1a2-b7e2-9676-05c0a9733cac, Not Active, Not Active, 65247 MiB, 294 MiB, 58968 MiB, 5983 MiB, 89 %, 93 %
8.33175477385521,GPU-5d0abf04-e1a2-b7e2-9676-05c0a9733cac, Not Active, Not Active, 65247 MiB, 294 MiB, 58968 MiB, 5983 MiB, 97 %, 100 %
9.331820324063301,GPU-5d0abf04-e1a2-b7e2-9676-05c0a9733cac, Not Active, Not Active, 65247 MiB, 294 MiB, 58968 MiB, 5983 MiB, 97 %, 100 %
10.331878430210054,GPU-5d0abf04-e1a2-b7e2-9676-05c0a9733cac, Not Active, Not Active, 65247 MiB, 294 MiB, 58968 MiB, 5983 MiB, 97 %, 100 %
11.331938312854618,GPU-5d0abf04-e1a2-b7e2-9676-05c0a9733cac, Not Active, Not Active, 65247 MiB, 294 MiB, 58968 MiB, 5983 MiB, 97 %, 100 %
12.332011048216373,GPU-5d0abf04-e1a2-b7e2-9676-05c0a9733cac, Not Active, Not Active, 65247 MiB, 294 MiB, 58968 MiB, 5983 MiB, 97 %, 100 %
13.332072665914893,GPU-5d0abf04-e1a2-b7e2-9676-05c0a9733cac, Not Active, Not Active, 65247 MiB, 294 MiB, 58968 MiB, 5983 MiB, 97 %, 100 %
