time [s],uuid, clocks_event_reasons.hw_slowdown, clocks_event_reasons.sw_thermal_slowdown, memory.total [MiB], memory.reserved [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
0.13605082966387272,GPU-6479c9fe-b5c3-51df-3e8b-e712c29e6db6, Not Active, Not Active, 65247 MiB, 294 MiB, 59608 MiB, 5343 MiB, 0 %, 0 %
1.2062651924788952,GPU-6479c9fe-b5c3-51df-3e8b-e712c29e6db6, Not Active, Not Active, 65247 MiB, 294 MiB, 59608 MiB, 5343 MiB, 0 %, 0 %
2.20634101703763,GPU-6479c9fe-b5c3-51df-3e8b-e712c29e6db6, Not Active, Not Active, 65247 MiB, 294 MiB, 59808 MiB, 5143 MiB, 63 %, 51 %
3.2064119037240744,GPU-6479c9fe-b5c3-51df-3e8b-e712c29e6db6, Not Active, Not Active, 65247 MiB, 294 MiB, 61216 MiB, 3735 MiB, 71 %, 65 %
5.775155145674944,GPU-6479c9fe-b5c3-51df-3e8b-e712c29e6db6, Not Active, Not Active, 65247 MiB, 294 MiB, 61216 MiB, 3735 MiB, 71 %, 64 %
6.775223711505532,GPU-6479c9fe-b5c3-51df-3e8b-e712c29e6db6, Not Active, Not Active, 65247 MiB, 294 MiB, 61216 MiB, 3735 MiB, 68 %, 61 %
7.775294668972492,GPU-6479c9fe-b5c3-51df-3e8b-e712c29e6db6, Not Active, Not Active, 65247 MiB, 294 MiB, 61216 MiB, 3735 MiB, 71 %, 64 %
8.775366520509124,GPU-6479c9fe-b5c3-51df-3e8b-e712c29e6db6, Not Active, Not Active, 65247 MiB, 294 MiB, 61216 MiB, 3735 MiB, 71 %, 64 %
9.775433495640755,GPU-6479c9fe-b5c3-51df-3e8b-e712c29e6db6, Not Active, Not Active, 65247 MiB, 294 MiB, 61216 MiB, 3735 MiB, 73 %, 66 %
10.775501830503345,GPU-6479c9fe-b5c3-51df-3e8b-e712c29e6db6, Not Active, Not Active, 65247 MiB, 294 MiB, 61216 MiB, 3735 MiB, 74 %, 67 %
11.77556936442852,GPU-6479c9fe-b5c3-51df-3e8b-e712c29e6db6, Not Active, Not Active, 65247 MiB, 294 MiB, 61216 MiB, 3735 MiB, 74 %, 67 %
12.775642255321145,GPU-6479c9fe-b5c3-51df-3e8b-e712c29e6db6, Not Active, Not Active, 65247 MiB, 294 MiB, 61216 MiB, 3735 MiB, 72 %, 65 %
13.775714723393321,GPU-6479c9fe-b5c3-51df-3e8b-e712c29e6db6, Not Active, Not Active, 65247 MiB, 294 MiB, 61216 MiB, 3735 MiB, 71 %, 64 %
14.775785164907575,GPU-6479c9fe-b5c3-51df-3e8b-e712c29e6db6, Not Active, Not Active, 65247 MiB, 294 MiB, 61216 MiB, 3735 MiB, 73 %, 66 %
15.775859540328383,GPU-6479c9fe-b5c3-51df-3e8b-e712c29e6db6, Not Active, Not Active, 65247 MiB, 294 MiB, 61216 MiB, 3735 MiB, 73 %, 66 %
16.775929503142834,GPU-6479c9fe-b5c3-51df-3e8b-e712c29e6db6, Not Active, Not Active, 65247 MiB, 294 MiB, 61216 MiB, 3735 MiB, 72 %, 65 %
17.775994930416346,GPU-6479c9fe-b5c3-51df-3e8b-e712c29e6db6, Not Active, Not Active, 65247 MiB, 294 MiB, 61216 MiB, 3735 MiB, 73 %, 65 %
18.776071360334754,GPU-6479c9fe-b5c3-51df-3e8b-e712c29e6db6, Not Active, Not Active, 65247 MiB, 294 MiB, 61216 MiB, 3735 MiB, 74 %, 66 %
19.776134431362152,GPU-6479c9fe-b5c3-51df-3e8b-e712c29e6db6, Not Active, Not Active, 65247 MiB, 294 MiB, 61216 MiB, 3735 MiB, 73 %, 66 %
20.776200268417597,GPU-6479c9fe-b5c3-51df-3e8b-e712c29e6db6, Not Active, Not Active, 65247 MiB, 294 MiB, 61216 MiB, 3735 MiB, 74 %, 67 %
21.77627801708877,GPU-6479c9fe-b5c3-51df-3e8b-e712c29e6db6, Not Active, Not Active, 65247 MiB, 294 MiB, 61216 MiB, 3735 MiB, 74 %, 66 %
22.776351584121585,GPU-6479c9fe-b5c3-51df-3e8b-e712c29e6db6, Not Active, Not Active, 65247 MiB, 294 MiB, 61216 MiB, 3735 MiB, 72 %, 65 %
