time [s],scheduler_total_time,model_forward_total_time,gpu_cache_usage_perc,num_requests_running,num_requests_waiting,num_preemptions_total,request_success_total,prompt_tokens_total,generation_tokens_total
0.14015539269894361,0,0,0,0,0,0,0,0,0
1.218906250782311,0.0006449809297919273,0.10570301581174135,0.006067500948046978,1.0,0.0,0.0,0,250.0,5.0
2.218987033702433,0.0034457137808203697,1.1130575062707067,0.007584376185058805,1.0,0.0,0.0,0,250.0,56.0
3.219051609747112,0.006166218779981136,2.1015030201524496,0.008722032612817565,1.0,0.0,0.0,0,250.0,106.0
4.219121735543013,0.008854895830154419,3.108804733492434,0.009859689040576436,1.0,0.0,0.0,0,250.0,157.0
5.219187835231423,0.0114436661824584,4.0970239182934165,0.010997345468335196,1.0,0.0,0.0,0,250.0,207.0
6.219257052987814,0.01374680083245039,4.778879581019282,0.19416003033750473,32.0,427.0,0.0,1.0,4250.0,246.0
7.219323696568608,0.02541950810700655,5.910553439520299,0.21843003412969286,32.0,468.0,0.0,1.0,8250.0,1446.0
8.219391860999167,0.0368585754185915,6.880616966634989,0.25483503981797495,32.0,468.0,0.0,1.0,8250.0,2662.0
9.219456716440618,0.048205260187387466,7.873869297094643,0.2791050436101631,32.0,468.0,0.0,1.0,8250.0,3878.0
10.219520659185946,0.05914350040256977,8.865756001323462,0.31551004929844517,32.0,468.0,0.0,1.0,8250.0,5062.0
11.219587489031255,0.06969579495489597,9.853214230388403,0.3397800530906333,32.0,468.0,0.0,1.0,8250.0,6214.0
12.219640460796654,0.07998436316847801,10.832818849012256,0.36405005688282144,32.0,468.0,0.0,1.0,8250.0,7334.0
13.219706350006163,0.08989509474486113,11.82320736721158,0.2062950322335988,32.0,436.0,0.0,33.0,16250.0,8038.0
14.219753896817565,0.10133351292461157,12.806647876277566,0.23056503602578693,32.0,436.0,0.0,33.0,16250.0,9286.0
15.219822758808732,0.11262219678610563,13.785381925292313,0.266970041714069,32.0,436.0,0.0,33.0,16250.0,10502.0
16.219869673252106,0.12393912766128778,14.787456698715687,0.29124004550625715,32.0,436.0,0.0,33.0,16250.0,11718.0
17.219934730790555,0.13478289172053337,15.763214206323028,0.31551004929844517,32.0,436.0,0.0,33.0,16250.0,12870.0
18.21998236514628,0.14568241871893406,16.758510114625096,0.35191505498672737,32.0,436.0,0.0,33.0,16250.0,14022.0
19.220048832707107,0.15494015906006098,17.603682493790984,0.09708001516875242,16.0,420.0,0.0,65.0,16250.0,14950.0
20.22011513262987,0.1669246256351471,18.716078069992363,0.21843003412969286,32.0,404.0,0.0,65.0,24250.0,15878.0
21.220179107040167,0.17867840267717838,19.708294277079403,0.24270003792188088,32.0,404.0,0.0,65.0,24250.0,17126.0
22.220226692967117,0.19007083028554916,20.696320611052215,0.2791050436101631,32.0,404.0,0.0,65.0,24250.0,18342.0
23.2202923707664,0.20108737424016,21.68240439053625,0.3033750474023511,32.0,404.0,0.0,65.0,24250.0,19526.0
24.220339219085872,0.2119175447151065,22.66609083674848,0.32764505119453924,32.0,404.0,0.0,65.0,24250.0,20678.0
25.220404736697674,0.22283031325787306,23.669285965152085,0.36405005688282144,32.0,404.0,0.0,65.0,24250.0,21830.0
26.22046172618866,0.2325005317106843,24.65793662518263,0.19416003033750473,32.0,372.0,0.0,97.0,32250.0,22502.0
27.220528145320714,0.24408605694770813,25.637144342064857,0.23056503602578693,32.0,372.0,0.0,97.0,32250.0,23750.0
28.220574180595577,0.25533329602330923,26.611536762677133,0.25483503981797495,32.0,372.0,0.0,97.0,32250.0,24966.0
29.22065152321011,0.26670556515455246,27.608268290758133,0.29124004550625715,32.0,372.0,0.0,97.0,32250.0,26182.0
30.220717534422874,0.27781882137060165,28.605992981232703,0.31551004929844517,32.0,372.0,0.0,97.0,32250.0,27366.0
31.22078414913267,0.28858018200844526,29.56960684247315,0.3397800530906333,32.0,372.0,0.0,97.0,32250.0,28486.0
32.22083295509219,0.2993544740602374,30.580708445049822,0.36405005688282144,32.0,372.0,0.0,97.0,32250.0,29638.0
33.22090166434646,0.3095149388536811,31.548338058404624,0.2062950322335988,32.0,340.0,0.0,129.0,40250.0,30342.0
34.22094805724919,0.32154843863099813,32.536292805336416,0.24270003792188088,32.0,340.0,0.0,129.0,40250.0,31590.0
35.221023238264024,0.3317902684211731,33.39016109984368,0.266970041714069,32.0,340.0,0.0,129.0,40250.0,32646.0
36.221078833565116,0.34309957828372717,34.51084917783737,0.29124004550625715,32.0,340.0,0.0,129.0,40250.0,33830.0
37.22114301472902,0.3540201149880886,35.48787211161107,0.31551004929844517,32.0,340.0,0.0,129.0,40250.0,34982.0
38.22118969075382,0.3650221722200513,36.483602637425065,0.35191505498672737,32.0,340.0,0.0,129.0,40250.0,36134.0
39.221255680546165,0.37411065585911274,37.30161502584815,0.09708001516875242,16.0,324.0,0.0,161.0,40250.0,37030.0
40.221323205158114,0.3866880629211664,38.46413270011544,0.21843003412969286,32.0,308.0,0.0,161.0,48250.0,38022.0
41.22138678189367,0.39853003714233637,39.45755860675126,0.24270003792188088,32.0,308.0,0.0,161.0,48250.0,39270.0
42.22143256664276,0.4100930616259575,40.421444073319435,0.2791050436101631,32.0,308.0,0.0,161.0,48250.0,40454.0
43.22149946074933,0.4213151326403022,41.40908336918801,0.3033750474023511,32.0,308.0,0.0,161.0,48250.0,41638.0
44.221546459943056,0.4325221832841635,42.394903481937945,0.32764505119453924,32.0,308.0,0.0,161.0,48250.0,42790.0
45.221613289788365,0.44379859417676926,43.399581065401435,0.36405005688282144,32.0,308.0,0.0,161.0,48250.0,43942.0
