time [s],uuid, clocks_event_reasons.hw_slowdown, clocks_event_reasons.sw_thermal_slowdown, memory.total [MiB], memory.reserved [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
0.13880551900001592,GPU-36bebcf2-8251-a036-b6c3-b01a2e5edae6, Not Active, Not Active, 65247 MiB, 294 MiB, 60158 MiB, 4793 MiB, 0 %, 0 %
1.1885238400000162,GPU-36bebcf2-8251-a036-b6c3-b01a2e5edae6, Not Active, Not Active, 65247 MiB, 294 MiB, 60158 MiB, 4793 MiB, 0 %, 0 %
2.1885818600003404,GPU-36bebcf2-8251-a036-b6c3-b01a2e5edae6, Not Active, Not Active, 65247 MiB, 294 MiB, 60158 MiB, 4793 MiB, 96 %, 95 %
3.188628984999923,GPU-36bebcf2-8251-a036-b6c3-b01a2e5edae6, Not Active, Not Active, 65247 MiB, 294 MiB, 60158 MiB, 4793 MiB, 96 %, 94 %
4.1887042409998685,GPU-36bebcf2-8251-a036-b6c3-b01a2e5edae6, Not Active, Not Active, 65247 MiB, 294 MiB, 60548 MiB, 4403 MiB, 82 %, 81 %
5.188774724000723,GPU-36bebcf2-8251-a036-b6c3-b01a2e5edae6, Not Active, Not Active, 65247 MiB, 294 MiB, 60548 MiB, 4403 MiB, 98 %, 97 %
6.1888487539999915,GPU-36bebcf2-8251-a036-b6c3-b01a2e5edae6, Not Active, Not Active, 65247 MiB, 294 MiB, 60548 MiB, 4403 MiB, 98 %, 97 %
7.188924032000614,GPU-36bebcf2-8251-a036-b6c3-b01a2e5edae6, Not Active, Not Active, 65247 MiB, 294 MiB, 60548 MiB, 4403 MiB, 69 %, 76 %
8.188995641000474,GPU-36bebcf2-8251-a036-b6c3-b01a2e5edae6, Not Active, Not Active, 65247 MiB, 294 MiB, 60548 MiB, 4403 MiB, 87 %, 96 %
9.189075389000209,GPU-36bebcf2-8251-a036-b6c3-b01a2e5edae6, Not Active, Not Active, 65247 MiB, 294 MiB, 60548 MiB, 4403 MiB, 88 %, 97 %
10.189146216000154,GPU-36bebcf2-8251-a036-b6c3-b01a2e5edae6, Not Active, Not Active, 65247 MiB, 294 MiB, 60548 MiB, 4403 MiB, 88 %, 97 %
11.189224088000628,GPU-36bebcf2-8251-a036-b6c3-b01a2e5edae6, Not Active, Not Active, 65247 MiB, 294 MiB, 60548 MiB, 4403 MiB, 89 %, 100 %
12.189296307999939,GPU-36bebcf2-8251-a036-b6c3-b01a2e5edae6, Not Active, Not Active, 65247 MiB, 294 MiB, 60548 MiB, 4403 MiB, 90 %, 100 %
13.189371449000646,GPU-36bebcf2-8251-a036-b6c3-b01a2e5edae6, Not Active, Not Active, 65247 MiB, 294 MiB, 60548 MiB, 4403 MiB, 90 %, 100 %
14.189443142000528,GPU-36bebcf2-8251-a036-b6c3-b01a2e5edae6, Not Active, Not Active, 65247 MiB, 294 MiB, 60548 MiB, 4403 MiB, 90 %, 100 %
15.189514603000134,GPU-36bebcf2-8251-a036-b6c3-b01a2e5edae6, Not Active, Not Active, 65247 MiB, 294 MiB, 60548 MiB, 4403 MiB, 91 %, 100 %
16.18955677300073,GPU-36bebcf2-8251-a036-b6c3-b01a2e5edae6, Not Active, Not Active, 65247 MiB, 294 MiB, 60548 MiB, 4403 MiB, 91 %, 100 %
17.189623752999978,GPU-36bebcf2-8251-a036-b6c3-b01a2e5edae6, Not Active, Not Active, 65247 MiB, 294 MiB, 60548 MiB, 4403 MiB, 92 %, 100 %
